Year,Albania,Andorra,Austria,Belarus,Belgium,Bosnia and Herzegovina,Bulgaria,Croatia,Czechia,Denmark,Estonia,Faroe Islands,Finland,france,germany,Greece,Hungary,Iceland,Ireland,Isle of Man,Italy,Latvia,Liechtenstein,Lithuania,Luxembourg,Malta,Moldova,Monaco,Montenegro,Moscow Oblast,Netherlands,North Macedonia,norway,Poland,Portugal,Romania,San Marino,Serbia,Slovak Republic,spain,Sweden,Switzerland,Ukraine,uk,average
2010,20.47,11.93,15.91,20.72,16.8,35.43,22.99,21.13,20.81,12.82,8.91,5.86,7.03,13.47,16.18,19.96,20.34,7.04,10.15,7.8,19.57,18.12,11.97,13.84,13,17.15,20.05,13.98,24.95,17.11,16.16,36.61,7.88,26.75,10.54,19.84,11.86,31.83,21.3,12.45,7.84,13.16,18.84,12.21,16.65
2011,22.38,13.03,16.3,18.5,16.2,39.62,26.24,23.15,20.92,13.07,8.11,5.91,6.92,13.48,15.71,21,21.17,7.23,10.33,7.77,20.7,15.88,12.86,12.32,12.7,16.24,20.33,15.11,28.01,13.57,16.02,42.95,8.7,26.34,11.24,21.16,12.86,34.04,22.37,13.43,7.92,13.76,18.5,12.75,17.20
2012,20.56,11.87,14.65,17.9,15.05,35.66,23.12,20.51,19.2,10.6,7.84,5.62,6.26,12.3,13.9,18.49,18.82,6.6,9.41,7.63,18.22,15.3,12.3,12.38,11.36,14.2,20.05,13.46,26.23,13.45,14.24,38.38,7.34,23.94,9.87,19.24,12,30.47,20.18,12.08,6.62,12.6,17.75,11.26,15.66
2013,19.06,10.92,14.59,18.79,14.22,33.86,21.52,19.86,18.85,10.2,7.94,6.2,5.89,12.2,13.65,17.67,17.75,6.45,9.02,7.61,17.53,15.76,12.03,12.42,11.7,13.47,19.55,12.59,23.96,13.99,13.19,34.94,7.06,23.01,9.56,17.7,11.54,28.63,19.43,11.3,6.57,12.36,17.98,11.16,15.08
2014,19.05,10.09,12.89,19.22,12.77,32.63,22.04,19.46,18.29,10.59,8.59,6.76,6.15,10.52,12.28,16.58,17.83,6.25,8.69,8.34,16.43,16.45,10.88,12.78,9.98,13.58,18.38,11.58,23.77,14.34,12.51,36.06,7.11,23.27,9.28,17.78,11.48,27.99,19.12,10.64,6.77,10.55,17.57,10.59,14.73
2015,18.75,10.77,13.53,17.43,13.2,33.92,20.82,19.78,17.75,10.03,7.09,6.23,5.65,11.16,12.82,16.99,17.86,6.18,8.65,7.82,17.27,13.98,11.94,11.33,10.38,13.82,17.83,12.64,23.42,12.47,13.01,34.04,6.78,22.25,9.45,17.25,11.96,28.04,19.04,11.34,6.31,11.63,16.91,10.25,14.54
2016,17.28,9.79,12.47,15.7,12.26,30.47,20.02,17.86,16.93,9.06,6.8,6.34,5.3,10.37,11.78,15.53,16.13,5.69,7.96,8.26,15.29,12.89,11.6,10.26,9.6,12.63,16.7,11.15,21.54,12.21,11.86,32.07,6.25,21.09,8.64,16.27,10.96,25.66,17.74,10.41,5.7,10.58,15.46,9.83,13.46
2017,18.25,9.72,12.1,15.67,12.63,31.04,20.09,18.4,16.89,9.9,6.09,7.2,5.15,10.33,11.9,15.43,16.9,6.31,8.24,8.72,15.56,11.92,10.48,9.83,9.59,12.98,14.89,11.19,21.94,11.7,12.6,32.48,6.54,22.1,9.08,16.52,11.3,26.44,18.04,10.53,6.07,9.86,14.87,10.18,13.58
2018,18.71,9.58,12.54,16.88,12.35,32.56,19.79,19.61,17.3,10.14,7.72,7.05,5.52,10.34,11.66,15.35,17.37,6,8.15,8.91,15.92,14.56,10.81,11.11,9.29,13.19,16.78,11.46,22.78,12.27,11.97,33.06,6.71,22.26,8.84,16.64,11.76,27.37,18.53,10.28,6.29,10.08,16.28,10.04,14.00
2019,15.43,8.75,11.42,15.55,11.1,26.77,17.61,15.62,14.2,9.41,6.81,6.8,5.4,9.72,10.65,14.72,14.54,5.95,7.74,8.66,14.53,12.79,10.06,10.28,8.47,12.66,15.44,10.32,18.98,11.16,11.27,27.6,6.39,18.64,7.85,14.24,10.51,22.79,15.72,9.47,6.06,9.39,14.75,9.75,12.41
2020,15.43,8.81,10.89,14.5,11.09,26.65,17.21,15.82,14.07,8.89,6.13,6.52,4.92,9.49,10.3,14.18,14.03,5.48,8,8.57,14.31,11.8,9.86,9.23,8.67,11.75,14.4,10.24,18.49,10.39,10.79,27.86,6.06,17.84,8.29,13.85,10.6,22.63,15.27,9.69,5.64,9,14.14,9.71,12.08
