Reference area,ISO,Country,TIME_PERIOD,OBS_VALUE
Liechtenstein,LIE,Liechtenstein,2009,13.29
Liechtenstein,LIE,Liechtenstein,2010,11.97
Liechtenstein,LIE,Liechtenstein,2011,12.86
Liechtenstein,LIE,Liechtenstein,2012,12.3
Liechtenstein,LIE,Liechtenstein,2013,12.03
Liechtenstein,LIE,Liechtenstein,2014,10.88
Liechtenstein,LIE,Liechtenstein,2015,11.94
Liechtenstein,LIE,Liechtenstein,2016,11.6
Liechtenstein,LIE,Liechtenstein,2017,10.48
Liechtenstein,LIE,Liechtenstein,2018,10.81
Liechtenstein,LIE,Liechtenstein,2019,10.06
Liechtenstein,LIE,Liechtenstein,2020,9.86
Bangladesh,BGD,Bangladesh,2000,51.99
Bangladesh,BGD,Bangladesh,2001,52.88
Bangladesh,BGD,Bangladesh,2002,53.05
Bangladesh,BGD,Bangladesh,2003,53.16
Bangladesh,BGD,Bangladesh,2004,52.23
Bangladesh,BGD,Bangladesh,2005,53.81
Bangladesh,BGD,Bangladesh,2006,54.81
Bangladesh,BGD,Bangladesh,2007,54.85
Bangladesh,BGD,Bangladesh,2008,53.04
Bangladesh,BGD,Bangladesh,2009,55.94
Bangladesh,BGD,Bangladesh,2010,41.52
Bangladesh,BGD,Bangladesh,2011,51.55
Bangladesh,BGD,Bangladesh,2012,64.07
Bangladesh,BGD,Bangladesh,2013,63.39
Bangladesh,BGD,Bangladesh,2014,67.27
Bangladesh,BGD,Bangladesh,2015,63.19
Bangladesh,BGD,Bangladesh,2016,62.78
Bangladesh,BGD,Bangladesh,2017,57.45
Bangladesh,BGD,Bangladesh,2018,58.58
Bangladesh,BGD,Bangladesh,2019,49.58
Bangladesh,BGD,Bangladesh,2020,41.65
Beijing,CHN,China (People’s Republic of),2000,55.77
Beijing,CHN,China (People’s Republic of),2001,60.73
Beijing,CHN,China (People’s Republic of),2002,61.22
Beijing,CHN,China (People’s Republic of),2003,64.25
Beijing,CHN,China (People’s Republic of),2004,59.7
Beijing,CHN,China (People’s Republic of),2005,61.64
Beijing,CHN,China (People’s Republic of),2006,65.71
Beijing,CHN,China (People’s Republic of),2007,64.04
Beijing,CHN,China (People’s Republic of),2008,64.04
Beijing,CHN,China (People’s Republic of),2009,66.95
Beijing,CHN,China (People’s Republic of),2010,57.24
Beijing,CHN,China (People’s Republic of),2011,62.28
Beijing,CHN,China (People’s Republic of),2012,57.59
Beijing,CHN,China (People’s Republic of),2013,76.56
Beijing,CHN,China (People’s Republic of),2014,67.67
Beijing,CHN,China (People’s Republic of),2015,64.89
Beijing,CHN,China (People’s Republic of),2016,59.86
Beijing,CHN,China (People’s Republic of),2017,57.25
Beijing,CHN,China (People’s Republic of),2018,51.36
Beijing,CHN,China (People’s Republic of),2019,47.16
Beijing,CHN,China (People’s Republic of),2020,46.04
Bulgaria,BGR,Bulgaria,2000,25.09
Bulgaria,BGR,Bulgaria,2001,24.8
Bulgaria,BGR,Bulgaria,2002,27.36
Bulgaria,BGR,Bulgaria,2003,28.97
Bulgaria,BGR,Bulgaria,2004,25.16
Bulgaria,BGR,Bulgaria,2005,25.7
Bulgaria,BGR,Bulgaria,2006,26.98
Bulgaria,BGR,Bulgaria,2007,22.11
Bulgaria,BGR,Bulgaria,2008,22.74
Bulgaria,BGR,Bulgaria,2009,22.75
Bulgaria,BGR,Bulgaria,2010,22.99
Bulgaria,BGR,Bulgaria,2011,26.24
Bulgaria,BGR,Bulgaria,2012,23.12
Bulgaria,BGR,Bulgaria,2013,21.52
Bulgaria,BGR,Bulgaria,2014,22.04
Bulgaria,BGR,Bulgaria,2015,20.82
Bulgaria,BGR,Bulgaria,2016,20.02
Bulgaria,BGR,Bulgaria,2017,20.09
Bulgaria,BGR,Bulgaria,2018,19.79
Bulgaria,BGR,Bulgaria,2019,17.61
Bulgaria,BGR,Bulgaria,2020,17.21
Viet Nam,VNM,Viet Nam,2000,25.7
Viet Nam,VNM,Viet Nam,2001,24.82
Viet Nam,VNM,Viet Nam,2002,25.56
Viet Nam,VNM,Viet Nam,2003,24.82
Viet Nam,VNM,Viet Nam,2004,26.35
Viet Nam,VNM,Viet Nam,2005,26.28
Viet Nam,VNM,Viet Nam,2006,26.32
Viet Nam,VNM,Viet Nam,2007,26.98
Viet Nam,VNM,Viet Nam,2008,26.86
Viet Nam,VNM,Viet Nam,2009,24.74
Viet Nam,VNM,Viet Nam,2010,22.41
Viet Nam,VNM,Viet Nam,2011,19.94
Viet Nam,VNM,Viet Nam,2012,20.92
Viet Nam,VNM,Viet Nam,2013,22.61
Viet Nam,VNM,Viet Nam,2014,19.87
Viet Nam,VNM,Viet Nam,2015,18.88
Viet Nam,VNM,Viet Nam,2016,19.77
Viet Nam,VNM,Viet Nam,2017,18.09
Viet Nam,VNM,Viet Nam,2018,19.62
Viet Nam,VNM,Viet Nam,2019,20.21
Viet Nam,VNM,Viet Nam,2020,20.21
Japan,JPN,Japan,2000,12.76
Japan,JPN,Japan,2001,12.46
Japan,JPN,Japan,2002,12.35
Japan,JPN,Japan,2003,12.08
Japan,JPN,Japan,2004,12.02
Japan,JPN,Japan,2005,12.17
Japan,JPN,Japan,2006,12.26
Japan,JPN,Japan,2007,12.15
Japan,JPN,Japan,2008,12.33
Japan,JPN,Japan,2009,11.53
Japan,JPN,Japan,2010,10.84
Japan,JPN,Japan,2011,12.26
Japan,JPN,Japan,2012,12.76
Japan,JPN,Japan,2013,13.22
Japan,JPN,Japan,2014,13.73
Japan,JPN,Japan,2015,12.85
Japan,JPN,Japan,2016,12.77
Japan,JPN,Japan,2017,13.05
Japan,JPN,Japan,2018,12.95
Japan,JPN,Japan,2019,12.77
Japan,JPN,Japan,2020,12.62
Maldives,MDV,Maldives,2000,14.77
Maldives,MDV,Maldives,2001,14.82
Maldives,MDV,Maldives,2002,14.82
Maldives,MDV,Maldives,2003,15.27
Maldives,MDV,Maldives,2004,15.7
Maldives,MDV,Maldives,2005,14.95
Maldives,MDV,Maldives,2006,15.4
Maldives,MDV,Maldives,2007,15.95
Maldives,MDV,Maldives,2008,14.82
Maldives,MDV,Maldives,2009,15.54
Maldives,MDV,Maldives,2010,12.63
Maldives,MDV,Maldives,2011,11.03
Maldives,MDV,Maldives,2012,11.98
Maldives,MDV,Maldives,2013,12.46
Maldives,MDV,Maldives,2014,11.06
Maldives,MDV,Maldives,2015,10.6
Maldives,MDV,Maldives,2016,11.36
Maldives,MDV,Maldives,2017,10.65
Maldives,MDV,Maldives,2018,11.34
Maldives,MDV,Maldives,2019,11.65
Maldives,MDV,Maldives,2020,11.55
Istanbul,TUR,Türkiye,2000,24.08
Istanbul,TUR,Türkiye,2001,22.43
Istanbul,TUR,Türkiye,2002,23.63
Istanbul,TUR,Türkiye,2003,21.74
Istanbul,TUR,Türkiye,2004,21.24
Istanbul,TUR,Türkiye,2005,21.44
Istanbul,TUR,Türkiye,2006,22.23
Istanbul,TUR,Türkiye,2007,22.09
Istanbul,TUR,Türkiye,2008,22.73
Istanbul,TUR,Türkiye,2009,23.13
Istanbul,TUR,Türkiye,2010,23.34
Istanbul,TUR,Türkiye,2011,22.86
Istanbul,TUR,Türkiye,2012,23.31
Istanbul,TUR,Türkiye,2013,23.19
Istanbul,TUR,Türkiye,2014,22.71
Istanbul,TUR,Türkiye,2015,23.42
Istanbul,TUR,Türkiye,2016,22.64
Istanbul,TUR,Türkiye,2017,21.66
Istanbul,TUR,Türkiye,2018,21.83
Istanbul,TUR,Türkiye,2019,23.24
Istanbul,TUR,Türkiye,2020,21.08
Yemen,YEM,Yemen,2000,43.06
Yemen,YEM,Yemen,2001,36.71
Yemen,YEM,Yemen,2002,36.2
Yemen,YEM,Yemen,2003,37.51
Yemen,YEM,Yemen,2004,36.26
Yemen,YEM,Yemen,2005,37.1
Yemen,YEM,Yemen,2006,35.38
Yemen,YEM,Yemen,2007,36.44
Yemen,YEM,Yemen,2008,43.9
Yemen,YEM,Yemen,2009,41.08
Yemen,YEM,Yemen,2010,37.44
Yemen,YEM,Yemen,2011,41.25
Yemen,YEM,Yemen,2012,50.8
Yemen,YEM,Yemen,2013,46.26
Yemen,YEM,Yemen,2014,36.69
Yemen,YEM,Yemen,2015,41.96
Yemen,YEM,Yemen,2016,38.9
Yemen,YEM,Yemen,2017,40.13
Yemen,YEM,Yemen,2018,41.78
Yemen,YEM,Yemen,2019,39.65
Yemen,YEM,Yemen,2020,33.58
Timor-Leste,TLS,Timor-Leste,2000,19.4
Timor-Leste,TLS,Timor-Leste,2001,19.72
Timor-Leste,TLS,Timor-Leste,2002,20.27
Timor-Leste,TLS,Timor-Leste,2003,19.31
Timor-Leste,TLS,Timor-Leste,2004,20.82
Timor-Leste,TLS,Timor-Leste,2005,19.33
Timor-Leste,TLS,Timor-Leste,2006,19.85
Timor-Leste,TLS,Timor-Leste,2007,20.49
Timor-Leste,TLS,Timor-Leste,2008,20.21
Timor-Leste,TLS,Timor-Leste,2009,19.72
Timor-Leste,TLS,Timor-Leste,2010,16.68
Timor-Leste,TLS,Timor-Leste,2011,15.34
Timor-Leste,TLS,Timor-Leste,2012,16.54
Timor-Leste,TLS,Timor-Leste,2013,16.58
Timor-Leste,TLS,Timor-Leste,2014,15.85
Timor-Leste,TLS,Timor-Leste,2015,14.84
Timor-Leste,TLS,Timor-Leste,2016,15.34
Timor-Leste,TLS,Timor-Leste,2017,14.05
Timor-Leste,TLS,Timor-Leste,2018,15.88
Timor-Leste,TLS,Timor-Leste,2019,16.77
Timor-Leste,TLS,Timor-Leste,2020,16.5
Tajikistan,TJK,Tajikistan,2000,34.66
Tajikistan,TJK,Tajikistan,2001,34.33
Tajikistan,TJK,Tajikistan,2002,33.2
Tajikistan,TJK,Tajikistan,2003,31.81
Tajikistan,TJK,Tajikistan,2004,32.16
Tajikistan,TJK,Tajikistan,2005,31.8
Tajikistan,TJK,Tajikistan,2006,33.35
Tajikistan,TJK,Tajikistan,2007,34.19
Tajikistan,TJK,Tajikistan,2008,35.12
Tajikistan,TJK,Tajikistan,2009,36.31
Tajikistan,TJK,Tajikistan,2010,38.44
Tajikistan,TJK,Tajikistan,2011,51.31
Tajikistan,TJK,Tajikistan,2012,49.79
Tajikistan,TJK,Tajikistan,2013,49.35
Tajikistan,TJK,Tajikistan,2014,45.2
Tajikistan,TJK,Tajikistan,2015,44.14
Tajikistan,TJK,Tajikistan,2016,43.57
Tajikistan,TJK,Tajikistan,2017,41.02
Tajikistan,TJK,Tajikistan,2018,40.91
Tajikistan,TJK,Tajikistan,2019,39.02
Tajikistan,TJK,Tajikistan,2020,35.92
Qatar,QAT,Qatar,2000,86.35
Qatar,QAT,Qatar,2001,82.85
Qatar,QAT,Qatar,2002,75.05
Qatar,QAT,Qatar,2003,101.4
Qatar,QAT,Qatar,2004,93.43
Qatar,QAT,Qatar,2005,96.03
Qatar,QAT,Qatar,2006,86.88
Qatar,QAT,Qatar,2007,88.91
Qatar,QAT,Qatar,2008,100.34
Qatar,QAT,Qatar,2009,92.12
Qatar,QAT,Qatar,2010,80.4
Qatar,QAT,Qatar,2011,85.46
Qatar,QAT,Qatar,2012,93.17
Qatar,QAT,Qatar,2013,85.8
Qatar,QAT,Qatar,2014,72.91
Qatar,QAT,Qatar,2015,93.93
Qatar,QAT,Qatar,2016,80.97
Qatar,QAT,Qatar,2017,80.33
Qatar,QAT,Qatar,2018,89.91
Qatar,QAT,Qatar,2019,78.58
Qatar,QAT,Qatar,2020,73.18
Azerbaijan,AZE,Azerbaijan,2000,18.35
Azerbaijan,AZE,Azerbaijan,2001,18.4
Azerbaijan,AZE,Azerbaijan,2002,18.5
Azerbaijan,AZE,Azerbaijan,2003,18.18
Azerbaijan,AZE,Azerbaijan,2004,17.92
Azerbaijan,AZE,Azerbaijan,2005,18.22
Azerbaijan,AZE,Azerbaijan,2006,18.38
Azerbaijan,AZE,Azerbaijan,2007,18.07
Azerbaijan,AZE,Azerbaijan,2008,19.57
Azerbaijan,AZE,Azerbaijan,2009,20.89
Azerbaijan,AZE,Azerbaijan,2010,22.08
Azerbaijan,AZE,Azerbaijan,2011,26.24
Azerbaijan,AZE,Azerbaijan,2012,28.09
Azerbaijan,AZE,Azerbaijan,2013,26.93
Azerbaijan,AZE,Azerbaijan,2014,25.31
Azerbaijan,AZE,Azerbaijan,2015,24.19
Azerbaijan,AZE,Azerbaijan,2016,23.35
Azerbaijan,AZE,Azerbaijan,2017,22.22
Azerbaijan,AZE,Azerbaijan,2018,22.29
Azerbaijan,AZE,Azerbaijan,2019,21.13
Azerbaijan,AZE,Azerbaijan,2020,20.67
Mongolia,MNG,Mongolia,2000,21.8
Mongolia,MNG,Mongolia,2001,21.6
Mongolia,MNG,Mongolia,2002,24.13
Mongolia,MNG,Mongolia,2003,24.96
Mongolia,MNG,Mongolia,2004,21.69
Mongolia,MNG,Mongolia,2005,21.86
Mongolia,MNG,Mongolia,2006,22.74
Mongolia,MNG,Mongolia,2007,24.05
Mongolia,MNG,Mongolia,2008,24.33
Mongolia,MNG,Mongolia,2009,27.59
Mongolia,MNG,Mongolia,2010,30.27
Mongolia,MNG,Mongolia,2011,38.8
Mongolia,MNG,Mongolia,2012,41.42
Mongolia,MNG,Mongolia,2013,38.97
Mongolia,MNG,Mongolia,2014,35.04
Mongolia,MNG,Mongolia,2015,35.83
Mongolia,MNG,Mongolia,2016,36.77
Mongolia,MNG,Mongolia,2017,33.34
Mongolia,MNG,Mongolia,2018,32.35
Mongolia,MNG,Mongolia,2019,33.03
Mongolia,MNG,Mongolia,2020,31.17
San Marino,SMR,San Marino,2000,15.6
San Marino,SMR,San Marino,2001,14.35
San Marino,SMR,San Marino,2002,14.64
San Marino,SMR,San Marino,2003,15.55
San Marino,SMR,San Marino,2004,13.67
San Marino,SMR,San Marino,2005,14.3
San Marino,SMR,San Marino,2006,14.46
San Marino,SMR,San Marino,2007,13.34
San Marino,SMR,San Marino,2008,12.69
San Marino,SMR,San Marino,2009,12.87
San Marino,SMR,San Marino,2010,11.86
San Marino,SMR,San Marino,2011,12.86
San Marino,SMR,San Marino,2012,12
San Marino,SMR,San Marino,2013,11.54
San Marino,SMR,San Marino,2014,11.48
San Marino,SMR,San Marino,2015,11.96
San Marino,SMR,San Marino,2016,10.96
San Marino,SMR,San Marino,2017,11.3
San Marino,SMR,San Marino,2018,11.76
San Marino,SMR,San Marino,2019,10.51
San Marino,SMR,San Marino,2020,10.6
National Capital Territory of Delhi,IND,India,2000,121.3
National Capital Territory of Delhi,IND,India,2001,122.43
National Capital Territory of Delhi,IND,India,2002,126.86
National Capital Territory of Delhi,IND,India,2003,130.58
National Capital Territory of Delhi,IND,India,2004,125.21
National Capital Territory of Delhi,IND,India,2005,124.63
National Capital Territory of Delhi,IND,India,2006,125.44
National Capital Territory of Delhi,IND,India,2007,127.39
National Capital Territory of Delhi,IND,India,2008,124.83
National Capital Territory of Delhi,IND,India,2009,126.71
National Capital Territory of Delhi,IND,India,2010,99.54
National Capital Territory of Delhi,IND,India,2011,125.27
National Capital Territory of Delhi,IND,India,2012,145.3
National Capital Territory of Delhi,IND,India,2013,150.33
National Capital Territory of Delhi,IND,India,2014,153.26
National Capital Territory of Delhi,IND,India,2015,145.3
National Capital Territory of Delhi,IND,India,2016,148.86
National Capital Territory of Delhi,IND,India,2017,132.77
National Capital Territory of Delhi,IND,India,2018,136.28
National Capital Territory of Delhi,IND,India,2019,113.6
National Capital Territory of Delhi,IND,India,2020,92.2
Luxembourg,LUX,Luxembourg,2000,14.23
Luxembourg,LUX,Luxembourg,2001,13.63
Luxembourg,LUX,Luxembourg,2002,13.68
Luxembourg,LUX,Luxembourg,2003,14.96
Luxembourg,LUX,Luxembourg,2004,13.29
Luxembourg,LUX,Luxembourg,2005,13.51
Luxembourg,LUX,Luxembourg,2006,14.16
Luxembourg,LUX,Luxembourg,2007,13.09
Luxembourg,LUX,Luxembourg,2008,12.34
Luxembourg,LUX,Luxembourg,2009,12.41
Luxembourg,LUX,Luxembourg,2010,13
